Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-03-11 08:00:00,10H30,Theft,commercial parking lot/garage,1,8,11,Thursday,Mar,2010,"(29.7550506, -95.3543593)","1950 Texas St, Houston, TX 77003, USA"
2010-03-12 22:00:00,10H30,Theft,bar/night club parking lot,1,22,12,Friday,Mar,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-03-13 01:00:00,10H30,Theft,bar/night club,1,1,13,Saturday,Mar,2010,"(29.7588305, -95.35140249999999)","1950 Commerce St, Houston, TX 77002, USA"
2010-03-13 22:00:00,10H30,Aggravated Assault,bar/night club,1,22,13,Saturday,Mar,2010,"(29.7475521, -95.3596541)","1550 Chartres St, Houston, TX 77003, USA"
2010-03-13 23:00:00,10H30,Theft,bar/night club parking lot,1,23,13,Saturday,Mar,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-03-14 01:00:00,10H30,Theft,bar/night club parking lot,1,1,14,Sunday,Mar,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-03-14 02:00:00,10H30,Theft,bar/night club parking lot,1,2,14,Sunday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-14 15:00:00,10H30,Theft,road/street/sidewalk,1,15,14,Sunday,Mar,2010,"(29.7462034, -95.3537372)","1350 Live Oak St, Houston, TX 77003, USA"
2010-03-14 17:00:00,10H30,Theft,road/street/sidewalk,1,17,14,Sunday,Mar,2010,"(29.7535368, -95.3555889)","1950 Rusk St, Houston, TX 77003, USA"
2010-03-14 21:00:00,10H30,Theft,road/street/sidewalk,1,21,14,Sunday,Mar,2010,"(29.7522163, -95.3535181)","2250 Rusk St, Houston, TX 77003, USA"
2010-03-14 23:00:00,10H30,Theft,bar/night club parking lot,1,23,14,Sunday,Mar,2010,"(29.7511593, -95.35347159999999)","2250 Walker St, Houston, TX 77003, USA"
