date,team,opponent,tm,opp,win_lost,season
2017-03-04,Houston Rockets,Memphis Grizzlies,123,108,W,regular
2017-03-08,Houston Rockets,Utah Jazz,108,115,L,regular
2017-03-12,Houston Rockets,Cleveland Cavaliers,117,112,W,regular
2017-03-15,Houston Rockets,Los Angeles Lakers,139,100,W,regular
2017-03-20,Houston Rockets,Denver Nuggets,125,124,W,regular
2017-03-24,Houston Rockets,New Orleans Pelicans,117,107,W,regular
2017-03-26,Houston Rockets,Oklahoma City Thunder,137,125,W,regular
2017-03-28,Houston Rockets,Golden State Warriors,106,113,L,regular
2017-04-05,Houston Rockets,Denver Nuggets,110,104,W,regular
2017-04-07,Houston Rockets,Detroit Pistons,109,114,L,regular
2017-04-12,Houston Rockets,Minnesota Timberwolves,123,118,W,regular
2017-04-16,Houston Rockets,Oklahoma City Thunder,118,87,W,playoffs
2017-04-19,Houston Rockets,Oklahoma City Thunder,115,111,W,playoffs
2017-04-25,Houston Rockets,Oklahoma City Thunder,105,99,W,playoffs
2017-05-05,Houston Rockets,San Antonio Spurs,92,103,L,playoffs
2017-05-07,Houston Rockets,San Antonio Spurs,125,104,W,playoffs
2017-05-11,Houston Rockets,San Antonio Spurs,75,114,L,playoffs
